ProductKey,Product_ID,ProductName,ProductDimensions,ProductDescription,ProductCostPerUnit,ProductPricePerUnit,ProductCategory,ProductConstructionDays,ProductQuantity,ProductColor,ProductSurfaceFinish,ProductCompliance,ProductWeight,Version,RowIsCurrent,RowStartDate,RowEndDate,RowChangeReason
118,118,Synthetic Slate Roofing,7.37x4.00x0.73,Clear box expect true.,41.93,61.67,Roofing,22,34,LightSlateGray,Have,False,36.77,2122,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
119,119,Cellulose Blown-In Insulation,9.31x3.41x0.28,Keep always measure newspaper.,22.45,32.10,Insulation,19,23,Orchid,Indeed,True,19.51,2123,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
120,120,Galvanized Steel Sheet,4.59x0.68x0.96,Help car during report suffer nature.,17.16,18.76,Steel and Metal,14,887,DarkSeaGreen,Century,True,25.12,2124,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
121,121,Quick-Set Cement,7.10x3.05x0.28,Turn financial between gun finish.,47.88,67.20,Concrete and Cement,5,623,LightSeaGreen,Debate,True,47.44,2125,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
122,122,Cellulose Blown-In Insulation,7.27x4.88x0.95,Fact administration try certainly.,8.12,26.20,Insulation,18,692,DarkViolet,Subject,True,38.27,2126,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
123,123,Copper Plumbing Pipes,2.23x2.86x0.68,Risk instead really girl song.,15.50,31.56,Steel and Metal,25,602,CornflowerBlue,Business,True,33.46,2127,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
124,124,Lightweight Concrete Aggregate,2.01x2.02x0.38,South majority since decade list smile experience.,34.08,46.35,Concrete and Cement,17,37,Azure,Himself,False,1.25,2128,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
125,125,Rock Wool Insulation,6.87x4.50x0.73,Race main type and social off building.,22.42,32.67,Insulation,10,969,MediumTurquoise,Too,True,39.21,2129,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
126,126,Metal Roof Tiles,7.44x3.61x0.80,Show cost computer whatever.,16.87,19.12,Roofing,18,990,BlanchedAlmond,Step,False,19.16,2130,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
127,127,Asphalt Shingles,7.08x3.92x0.12,Buy black those heart test head.,9.50,16.01,Roofing,8,758,Aqua,Present,True,49.77,2131,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
128,128,Quick-Set Cement,1.17x2.34x0.34,Western wear wonder senior matter.,11.54,19.37,Concrete and Cement,29,720,LightCyan,Long,True,1.10,2132,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
129,129,Reinforced Concrete Slab,0.71x0.59x0.89,Remain magazine unit fact event recent customer various.,25.74,37.27,Concrete and Cement,6,19,LightGreen,Bank,True,41.38,2133,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
130,130,Spray Foam Insulation Kit,9.51x4.43x0.76,I election modern life help possible green from.,30.15,39.25,Insulation,2,832,MediumSlateBlue,Question,True,46.25,2134,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
131,131,High-Strength Concrete Mix,5.07x1.52x0.94,Team decision relationship nor owner.,28.55,33.97,Concrete and Cement,21,578,Cornsilk,Card,True,12.53,2135,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
132,132,Synthetic Slate Roofing,9.29x1.93x0.70,Eat seven outside none art product.,22.14,35.29,Roofing,13,28,Salmon,Some,True,9.93,2136,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
133,133,Metal Roof Tiles,6.25x1.33x0.92,Discussion use game appear foot everybody.,7.85,23.36,Roofing,19,203,LightGoldenRodYellow,Make,True,10.69,2137,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
134,134,Welded Wire Mesh,4.08x4.27x0.23,Create million marriage professional.,42.92,60.71,Steel and Metal,25,843,Turquoise,Anyone,False,27.81,2138,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
135,135,Synthetic Slate Roofing,6.85x3.68x0.34,Still popular network before treatment why feeling.,41.73,47.99,Roofing,27,429,Navy,Large,False,11.46,2139,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
136,136,Lightweight Concrete Aggregate,3.32x3.16x0.30,Measure cup reveal face make tree blood customer.,31.98,40.19,Concrete and Cement,16,286,MediumOrchid,Garden,False,49.50,2140,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
137,137,Clay Roof Shingles,7.68x2.20x0.77,May record against.,44.80,46.75,Roofing,23,366,Teal,These,True,28.07,2141,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
138,138,Designer Paving Stones,6.65x0.61x0.98,Recent movie main.,15.41,32.04,Bricks and Blocks,30,985,DarkRed,Class,False,1.17,2142,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
139,139,Quick-Set Cement,7.87x0.84x0.37,Reveal store skin business.,18.10,20.01,Concrete and Cement,5,807,Beige,Defense,True,10.66,2143,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
140,140,Welded Wire Mesh,1.74x2.96x0.97,Laugh say voice finish television return sea.,28.79,37.18,Steel and Metal,16,895,Cyan,Newspaper,False,32.15,2144,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
141,141,Classic Red Brick,1.61x4.84x0.13,Against reason add present defense.,6.86,21.45,Bricks and Blocks,22,79,LightBlue,Toward,True,38.87,2145,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
142,142,Quick-Set Cement,9.80x0.69x0.90,Hard it speak letter edge maybe somebody.,25.65,28.06,Concrete and Cement,28,847,DarkKhaki,Must,False,2.80,2146,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
143,143,Welded Wire Mesh,1.09x1.48x0.28,Decision fight main ability range simple join.,17.74,29.69,Steel and Metal,3,816,LightGreen,Offer,True,9.76,2147,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
144,144,Spray Foam Insulation Kit,7.24x2.55x0.60,His fear save partner provide able store.,21.58,31.55,Insulation,7,585,Gainsboro,Indeed,True,45.34,2148,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
145,145,High-Strength Concrete Mix,7.44x2.70x0.40,Someone way be old open animal.,21.22,28.34,Concrete and Cement,11,464,NavajoWhite,Three,False,17.82,2149,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
146,146,Waterproof Cement Coating,2.66x2.62x0.68,Such plan able human old.,43.48,47.55,Concrete and Cement,30,761,DarkSalmon,Tough,False,6.85,2150,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
147,147,Copper Plumbing Pipes,1.67x1.88x0.98,Study plant whether personal agent.,24.00,41.36,Steel and Metal,22,77,SpringGreen,Parent,False,18.30,2151,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
148,148,Waterproof Cement Coating,1.12x2.26x0.60,Radio amount experience foreign heart deep.,10.65,26.49,Concrete and Cement,20,560,BlanchedAlmond,Popular,False,21.97,2152,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
149,149,Eco-Friendly Cinder Block,6.68x4.15x0.79,East hit game natural respond.,33.81,36.82,Bricks and Blocks,1,910,NavajoWhite,Style,False,24.81,2153,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
150,150,Designer Paving Stones,9.60x4.46x0.36,Security discuss wind community right fall whatever.,18.50,26.20,Bricks and Blocks,29,494,DarkSlateBlue,Carry,True,24.72,2154,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
151,151,Waterproof Cement Coating,5.28x3.05x0.53,Career church third central.,40.23,43.63,Concrete and Cement,1,957,FireBrick,Strong,True,46.82,2155,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
152,152,Lightweight Concrete Aggregate,1.93x2.35x0.12,Defense art candidate do mind cause.,47.43,60.41,Concrete and Cement,26,96,Linen,Show,False,33.52,2156,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
153,153,Fiberglass Insulation Rolls,3.99x2.89x0.33,Bit maybe sing benefit light.,25.62,39.19,Insulation,17,440,SpringGreen,Where,True,16.55,2157,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
154,154,Reflective Foil Insulation,0.51x2.11x0.46,Parent owner vote while north hundred and by.,23.32,31.20,Insulation,17,445,Gainsboro,Activity,False,36.29,2158,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
155,155,Copper Plumbing Pipes,2.55x1.58x0.92,Everybody feeling policy ago spring film there.,43.64,57.15,Steel and Metal,29,672,LightYellow,Necessary,False,17.20,2159,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
156,156,Fiberglass Insulation Rolls,4.19x4.44x0.56,Development chair evening arrive idea system.,38.45,55.28,Insulation,23,844,LightYellow,Professor,True,26.28,2160,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
157,157,Galvanized Steel Sheet,2.82x4.31x0.84,Particular radio size himself agent television picture.,6.48,15.06,Steel and Metal,26,803,BurlyWood,Carry,True,43.37,2161,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
158,158,Insulated Concrete Block,0.76x3.12x0.84,Everybody management magazine participant stand.,24.83,36.90,Bricks and Blocks,8,58,Tomato,War,True,38.44,2162,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
159,159,Eco-Friendly Cinder Block,8.30x4.16x0.71,Religious human detail music.,7.77,9.12,Bricks and Blocks,27,680,Linen,Purpose,False,7.35,2163,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
160,160,Spray Foam Insulation Kit,8.57x3.88x0.69,Cut clear pressure plan.,17.32,26.71,Insulation,26,645,DeepPink,Fight,True,26.46,2164,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
161,161,Aluminum Roofing Panels,9.77x2.60x0.21,Present challenge manager man.,46.37,58.82,Steel and Metal,12,737,BurlyWood,Technology,True,9.88,2165,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
162,162,Metal Roof Tiles,7.01x4.46x0.48,Near while away.,32.17,44.66,Roofing,7,81,LightYellow,Reality,True,37.88,2166,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
163,163,Copper Plumbing Pipes,7.31x1.06x0.47,Girl follow memory hospital worry.,14.39,22.67,Steel and Metal,8,730,MediumOrchid,However,True,13.99,2167,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
164,164,Reflective Foil Insulation,9.87x3.80x0.11,Certain yet structure senior all.,34.41,36.68,Insulation,1,955,Chartreuse,Culture,False,29.46,2168,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
165,165,Rock Wool Insulation,9.93x4.34x0.49,Shake down blue natural hair room born rise.,30.22,49.61,Insulation,30,961,Gray,Why,True,9.67,2169,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
166,166,Architectural Clay Brick,6.06x2.52x0.86,Particularly group present could.,25.69,45.48,Bricks and Blocks,29,498,FloralWhite,Order,True,34.31,2170,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
167,167,Welded Wire Mesh,2.09x4.06x0.17,Yes maybe sister administration.,11.85,16.55,Steel and Metal,12,923,Lavender,Wonder,False,30.16,2171,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
168,168,Waterproof Cement Coating,3.14x4.22x0.26,Treatment your figure eight morning great.,43.98,60.78,Concrete and Cement,13,158,MidnightBlue,Upon,False,11.30,2172,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
169,169,Stainless Steel Rods,1.42x0.52x0.26,Pm home north.,43.38,48.19,Steel and Metal,26,538,LightSlateGray,Ten,False,15.19,2173,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
170,170,Rock Wool Insulation,0.59x2.60x0.70,Success behind really study sister significant.,42.11,52.67,Insulation,2,999,Crimson,Grow,True,32.10,2174,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
171,171,Classic Red Brick,4.25x4.04x0.20,Officer blue him yeah claim this.,37.42,52.61,Bricks and Blocks,22,468,OliveDrab,Remain,True,20.56,2175,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
172,172,Designer Paving Stones,4.99x3.54x0.93,Others provide become artist yes later indeed sort.,43.80,50.55,Bricks and Blocks,29,282,GoldenRod,Gas,True,21.72,2176,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
173,173,Solar Roof Panels,5.51x0.55x0.17,Suggest over ever dog future start.,23.43,38.51,Roofing,18,443,Magenta,Toward,False,46.64,2177,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
174,174,Galvanized Steel Sheet,8.87x3.76x0.16,Week perform just space play find true.,6.57,20.88,Steel and Metal,28,856,Aquamarine,Direction,True,9.76,2178,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
175,175,Waterproof Cement Coating,2.71x1.02x0.92,Picture loss arm through rule.,37.27,38.97,Concrete and Cement,29,315,LightSalmon,Plant,True,1.21,2179,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
176,176,Designer Paving Stones,9.95x3.34x0.71,Not less yet character dark sort word.,11.39,25.43,Bricks and Blocks,8,271,Orchid,Election,True,29.00,2180,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
177,177,Architectural Clay Brick,4.73x2.62x0.59,Ability throughout hold call develop test.,29.04,45.26,Bricks and Blocks,28,64,Orchid,Tv,True,38.99,2181,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
178,178,Reflective Foil Insulation,5.87x2.79x0.60,Baby mean discuss rich blood training admit.,39.00,57.62,Insulation,28,424,SkyBlue,Authority,False,3.71,2182,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
179,179,Spray Foam Insulation Kit,6.77x4.05x0.48,Stock pull story compare.,45.82,50.73,Insulation,19,255,LightSalmon,Experience,False,46.17,2183,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
180,180,Fiberglass Insulation Rolls,7.43x1.03x0.28,Little although practice election third.,21.19,28.52,Insulation,11,386,Sienna,Before,True,12.71,2184,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
181,181,Clay Roof Shingles,8.13x4.76x0.16,Think him draw remain though.,15.04,26.38,Roofing,11,557,PaleGoldenRod,Up,True,22.02,2185,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
182,182,Architectural Clay Brick,5.37x3.47x0.46,Significant article moment current affect exist customer possible.,29.30,39.45,Bricks and Blocks,8,455,FloralWhite,Eye,False,42.88,2186,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
183,183,High-Strength Concrete Mix,5.35x2.72x0.42,Realize wonder try everyone.,33.95,46.41,Concrete and Cement,8,361,Red,True,True,47.26,2187,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
184,184,Rock Wool Insulation,8.31x4.45x0.57,Something focus many employee usually per.,33.65,53.36,Insulation,27,338,LemonChiffon,Imagine,False,29.04,2188,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
185,185,Synthetic Slate Roofing,1.61x1.10x0.14,Little do far what.,29.01,32.89,Roofing,26,958,White,Although,True,44.32,2189,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
186,186,Cellulose Blown-In Insulation,6.18x1.46x0.84,Party religious politics marriage whom admit alone.,29.19,36.84,Insulation,12,241,LightSlateGray,Huge,True,19.71,2190,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
187,187,Aluminum Roofing Panels,7.61x4.87x0.78,Half policy prove.,23.24,39.17,Steel and Metal,10,438,OrangeRed,Study,False,5.40,2191,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
188,188,Lightweight Concrete Aggregate,8.75x1.63x0.35,Tonight center push whom once responsibility people.,27.30,37.64,Concrete and Cement,30,716,SeaShell,Despite,False,39.87,2192,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
189,189,Reinforced Concrete Slab,4.61x0.94x0.39,Dream have quite her peace sometimes how.,30.92,42.64,Concrete and Cement,13,259,GreenYellow,Myself,True,47.22,2193,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
190,190,Spray Foam Insulation Kit,2.85x1.46x0.96,Book daughter test certainly.,7.90,27.12,Insulation,19,31,LightGreen,Space,False,7.24,2194,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
191,191,Designer Paving Stones,0.88x1.70x0.39,Dog manage medical per culture.,11.97,17.53,Bricks and Blocks,21,443,Bisque,Generation,True,16.64,2195,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
192,192,Lightweight Concrete Aggregate,3.39x1.72x0.24,Onto must culture paper.,29.52,31.13,Concrete and Cement,14,481,DodgerBlue,Scientist,False,3.70,2196,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
193,193,Spray Foam Insulation Kit,2.34x4.07x0.83,Page how institution.,41.50,45.99,Insulation,4,389,MediumVioletRed,Same,True,.92,2197,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
194,194,Welded Wire Mesh,2.34x2.75x0.71,Age approach all build.,24.65,43.96,Steel and Metal,2,20,Navy,Prevent,True,33.20,2198,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
195,195,Quick-Set Cement,9.23x2.45x0.34,Face next free surface.,23.78,37.79,Concrete and Cement,6,672,PowderBlue,For,False,28.01,2199,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
196,196,Clay Roof Shingles,7.73x4.35x0.42,Walk treatment myself tough.,9.17,18.92,Roofing,19,259,Crimson,Our,True,10.05,2200,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
197,197,Copper Plumbing Pipes,9.16x3.67x0.73,Ago soon fear ever establish stock.,43.93,45.86,Steel and Metal,26,184,DarkRed,Piece,False,43.68,2201,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
198,198,High-Strength Concrete Mix,2.58x4.75x0.58,War star popular wife degree.,11.48,30.41,Concrete and Cement,13,566,Pink,Now,True,18.93,2202,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
199,199,Fiberglass Insulation Rolls,9.09x0.93x0.54,Power throw law.,46.84,65.10,Insulation,22,112,AliceBlue,Next,False,34.48,2203,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
200,200,Spray Foam Insulation Kit,4.24x2.62x0.71,Increase poor fight cup successful.,7.65,22.82,Insulation,26,33,Azure,Increase,False,6.94,2204,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
201,201,Eco-Friendly Cinder Block,6.18x1.79x0.14,Customer gun lay win.,22.44,32.70,Bricks and Blocks,26,236,Silver,Fly,False,10.91,2205,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
202,202,Galvanized Steel Sheet,8.52x1.51x0.74,Capital though catch general never.,34.11,46.88,Steel and Metal,25,553,LightSlateGray,Financial,True,46.14,2206,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
203,203,Quick-Set Cement,7.12x1.47x0.53,Seven seek situation among.,16.20,34.21,Concrete and Cement,14,56,SteelBlue,Off,True,10.67,2207,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
204,204,Eco-Friendly Cinder Block,4.30x3.80x0.66,Step window employee maintain letter significant.,23.96,37.91,Bricks and Blocks,21,114,Fuchsia,Sign,False,9.01,2208,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
205,205,Quick-Set Cement,4.62x0.64x0.64,Score everyone through animal wonder strategy.,6.01,10.47,Concrete and Cement,10,299,WhiteSmoke,Newspaper,False,46.17,2209,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
206,206,Architectural Clay Brick,3.35x2.28x0.91,Section between current seat.,36.56,46.93,Bricks and Blocks,30,426,YellowGreen,Them,True,42.90,2210,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
207,207,Cellulose Blown-In Insulation,9.01x4.73x0.62,In type especially structure magazine surface first.,16.67,26.21,Insulation,19,771,LightSteelBlue,Table,True,24.40,2211,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
208,208,Quick-Set Cement,6.27x3.11x0.17,Class media along.,41.74,55.35,Concrete and Cement,6,169,AntiqueWhite,Course,False,7.40,2212,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
209,209,Insulated Concrete Block,9.15x3.39x0.52,Book huge indicate their region nice Republican.,42.50,45.08,Bricks and Blocks,18,425,MediumOrchid,Change,True,10.91,2213,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
210,210,Galvanized Steel Sheet,8.50x1.04x0.36,Win economic prove already my too public.,17.16,34.95,Steel and Metal,24,435,MediumSlateBlue,Director,False,46.99,2214,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
211,211,Galvanized Steel Sheet,4.94x2.15x0.68,Why catch investment.,22.84,34.21,Steel and Metal,25,123,HotPink,Law,True,43.07,2215,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
212,212,Solar Roof Panels,1.04x3.98x0.59,Actually true learn only throw own.,28.68,41.08,Roofing,26,500,HotPink,Glass,True,11.94,2216,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
213,213,Fiberglass Insulation Rolls,4.23x2.23x0.88,Research improve hit yet produce present stage.,41.75,46.43,Insulation,30,540,Maroon,Test,True,17.04,2217,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
214,214,Asphalt Shingles,6.70x3.79x0.67,Choose inside stage building.,37.53,57.04,Roofing,15,626,Thistle,Go,False,2.11,2218,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
215,215,Clay Roof Shingles,1.12x1.71x0.56,Debate shoulder sport identify trouble game what.,20.31,35.37,Roofing,4,137,CadetBlue,Must,False,18.74,2219,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
216,216,Spray Foam Insulation Kit,3.55x2.98x0.80,Security learn car lay.,26.20,36.60,Insulation,1,55,MediumBlue,Economy,True,17.25,2220,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
217,217,Clay Roof Shingles,2.58x2.17x0.22,Interest low project star.,17.67,24.39,Roofing,18,598,DodgerBlue,Work,False,23.94,2221,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
218,218,Waterproof Cement Coating,1.19x0.89x0.76,Break son owner today.,42.75,51.70,Concrete and Cement,18,497,WhiteSmoke,System,False,22.97,2222,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
219,219,Welded Wire Mesh,8.26x3.02x0.45,Century should particularly certainly life military challenge.,5.32,23.20,Steel and Metal,21,60,Lime,Beat,True,8.28,2223,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
220,220,Cellulose Blown-In Insulation,4.67x1.75x0.31,Factor administration any at city and address.,21.98,35.69,Insulation,4,528,Ivory,Owner,False,37.23,2224,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
221,221,Galvanized Steel Sheet,9.40x2.59x0.40,Piece hear apply drive plan system two.,15.93,22.99,Steel and Metal,17,537,Peru,Friend,False,7.43,2225,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
222,222,Waterproof Cement Coating,4.41x3.55x0.30,Office year away behavior.,49.07,63.67,Concrete and Cement,25,44,DeepSkyBlue,Market,False,17.26,2226,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
223,223,Synthetic Slate Roofing,1.40x2.63x0.56,Chair deep produce power deep including.,10.09,22.78,Roofing,9,962,PapayaWhip,Same,True,32.66,2227,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
224,224,Asphalt Shingles,1.30x0.57x0.92,Leg across table actually friend walk police occur.,31.87,39.71,Roofing,4,228,CadetBlue,Draw,True,47.49,2228,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
225,225,Designer Paving Stones,4.55x1.67x0.26,Already call with both.,41.18,58.62,Bricks and Blocks,29,388,DodgerBlue,Wind,True,40.58,2229,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
226,226,Lightweight Concrete Aggregate,8.29x1.74x0.58,Close country would for may describe protect.,35.21,43.71,Concrete and Cement,1,746,SpringGreen,Attorney,True,16.82,2230,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
227,227,Reinforced Concrete Slab,8.86x3.47x0.32,Week single student real bad bag.,5.24,11.24,Concrete and Cement,26,132,DarkGreen,Quickly,False,27.01,2231,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
228,228,High-Strength Concrete Mix,2.94x2.62x0.78,Everyone side gas eye spring throw.,9.46,14.54,Concrete and Cement,19,698,LightSeaGreen,Seem,True,14.99,2232,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
229,229,Reflective Foil Insulation,5.72x2.46x0.92,College also than toward left together financial somebody.,5.15,19.49,Insulation,19,374,DeepSkyBlue,Security,True,31.57,2233,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
230,230,Designer Paving Stones,8.68x3.72x0.88,Pattern keep example.,9.86,15.26,Bricks and Blocks,13,241,Lime,Keep,True,24.09,2234,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
231,231,Rock Wool Insulation,1.15x1.65x0.35,Stay step student test do you.,9.15,16.40,Insulation,25,25,DarkBlue,Support,True,10.36,2235,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
232,232,Welded Wire Mesh,4.22x2.08x0.73,Major during however student history second him difference.,22.86,29.51,Steel and Metal,22,510,SlateGray,Fear,False,34.47,2236,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
233,233,Lightweight Concrete Aggregate,1.22x3.19x0.58,Character market clear.,17.37,30.38,Concrete and Cement,14,273,SandyBrown,Process,True,38.91,2237,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
234,234,Cellulose Blown-In Insulation,6.20x2.56x0.92,What early child together shake level.,7.23,23.78,Insulation,17,51,DeepPink,Consumer,True,7.74,2238,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
235,235,Classic Red Brick,5.80x1.31x0.82,Seat skin foreign by arrive gun reflect.,48.88,68.24,Bricks and Blocks,11,336,LimeGreen,Growth,True,25.06,2239,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
236,236,Fiberglass Insulation Rolls,8.50x4.15x0.66,Think cover baby big.,43.46,58.46,Insulation,29,445,DarkOrchid,Beat,False,8.90,2240,True,2024-06-18 11:29:20.3981589,9999-12-31 00:00:00.0000000,
